depth,sector,condition,rg_similarity,universality_stability,scale_invariant_coherence,recursive_rescaling_similarity,attractor_universality,resilience_scaling_index,universality_persistence,classification
20,Antisymmetry-Neutral,UniversalityClassExtraction,0.5984,0.5991,0.5827,0.5792,0.555,0.5706,0.5799,UNIVERSALITY-DEGRADING
24,Antisymmetry-Neutral,UniversalityClassExtraction,0.5639,0.5595,0.5436,0.5247,0.5288,0.533,0.5321,UNIVERSALITY-DEGRADING
32,Antisymmetry-Neutral,UniversalityClassExtraction,0.4947,0.4847,0.4815,0.4744,0.4652,0.4551,0.4638,UNIVERSALITY-DEGRADING
40,Antisymmetry-Neutral,UniversalityClassExtraction,0.4572,0.4482,0.4261,0.4262,0.4158,0.4245,0.4288,UNIVERSALITY-FAILED
48,Antisymmetry-Neutral,UniversalityClassExtraction,0.4106,0.3946,0.3823,0.3828,0.3858,0.3776,0.3815,UNIVERSALITY-FAILED
64,Antisymmetry-Neutral,UniversalityClassExtraction,0.3429,0.329,0.333,0.3267,0.3245,0.3134,0.3312,UNIVERSALITY-FAILED
80,Antisymmetry-Neutral,UniversalityClassExtraction,0.298,0.2887,0.2838,0.2815,0.281,0.2751,0.2842,UNIVERSALITY-FAILED
96,Antisymmetry-Neutral,UniversalityClassExtraction,0.2605,0.258,0.2532,0.2475,0.2382,0.2357,0.2414,UNIVERSALITY-FAILED
128,Antisymmetry-Neutral,UniversalityClassExtraction,0.2162,0.2105,0.1985,0.1972,0.1994,0.1904,0.1989,UNIVERSALITY-FAILED
160,Antisymmetry-Neutral,UniversalityClassExtraction,0.1797,0.1703,0.1677,0.1686,0.1667,0.1626,0.1675,UNIVERSALITY-FAILED
192,Antisymmetry-Neutral,UniversalityClassExtraction,0.1547,0.1502,0.1426,0.1463,0.1392,0.1404,0.1438,UNIVERSALITY-FAILED
256,Antisymmetry-Neutral,UniversalityClassExtraction,0.1168,0.1152,0.1127,0.1104,0.1082,0.1118,0.1114,UNIVERSALITY-FAILED
320,Antisymmetry-Neutral,UniversalityClassExtraction,0.0988,0.0973,0.0914,0.0922,0.0912,0.0888,0.0932,UNIVERSALITY-FAILED
512,Antisymmetry-Neutral,UniversalityClassExtraction,0.0645,0.0617,0.0607,0.06,0.0591,0.0581,0.0596,UNIVERSALITY-FAILED
1,Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.9012,0.87,0.8669,0.8852,0.8252,0.8131,0.8397,UNIVERSALITY-STABLE
2,Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.8948,0.8603,0.8575,0.8269,0.8104,0.7949,0.8188,UNIVERSALITY-STABLE
4,Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.8414,0.8027,0.7956,0.8146,0.7741,0.7491,0.7801,UNIVERSALITY-BOUNDED
6,Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.7843,0.768,0.7818,0.751,0.7405,0.7154,0.7597,UNIVERSALITY-BOUNDED
8,Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.765,0.7509,0.7298,0.7484,0.718,0.683,0.7087,UNIVERSALITY-BOUNDED
12,Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.6991,0.6842,0.6721,0.6704,0.6515,0.6325,0.6721,UNIVERSALITY-PARTIAL
16,Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.6415,0.6384,0.6203,0.6169,0.593,0.5927,0.6266,UNIVERSALITY-PARTIAL
20,Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.6137,0.5799,0.5728,0.5785,0.5675,0.5603,0.5636,UNIVERSALITY-DEGRADING
24,Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.5608,0.5387,0.5372,0.5336,0.5186,0.5266,0.545,UNIVERSALITY-DEGRADING
32,Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.489,0.4799,0.4949,0.4831,0.4522,0.4608,0.4737,UNIVERSALITY-DEGRADING
40,Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.4477,0.4393,0.4326,0.4376,0.4235,0.4096,0.4258,UNIVERSALITY-FAILED
48,Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.4057,0.3904,0.3946,0.3852,0.372,0.3736,0.3884,UNIVERSALITY-FAILED
64,Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.3455,0.3269,0.3365,0.3224,0.3134,0.319,0.3316,UNIVERSALITY-FAILED
80,Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.292,0.2809,0.281,0.2863,0.2721,0.2766,0.2857,UNIVERSALITY-FAILED
96,Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.2543,0.2559,0.2545,0.2519,0.2391,0.2392,0.2475,UNIVERSALITY-FAILED
128,Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.2051,0.2001,0.2001,0.2052,0.1917,0.1953,0.1948,UNIVERSALITY-FAILED
160,Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.1762,0.1675,0.1726,0.1699,0.1632,0.1578,0.1639,UNIVERSALITY-FAILED
192,Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.1535,0.1454,0.1471,0.1466,0.1412,0.1389,0.1429,UNIVERSALITY-FAILED
256,Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.1181,0.1151,0.1148,0.115,0.11,0.1087,0.1113,UNIVERSALITY-FAILED
320,Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.0979,0.0949,0.094,0.0952,0.0887,0.0886,0.093,UNIVERSALITY-FAILED
512,Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.0632,0.0621,0.0619,0.0603,0.0589,0.0581,0.0605,UNIVERSALITY-FAILED
1,Antisymmetry-Neutral,AttractorTopologyScaling,0.8896,0.8797,0.8494,0.8514,0.8423,0.8298,0.8406,UNIVERSALITY-STABLE
2,Antisymmetry-Neutral,AttractorTopologyScaling,0.8875,0.8311,0.8445,0.8229,0.82,0.8162,0.8253,UNIVERSALITY-STABLE
4,Antisymmetry-Neutral,AttractorTopologyScaling,0.8205,0.8066,0.7993,0.7783,0.8102,0.7477,0.7914,UNIVERSALITY-BOUNDED
6,Antisymmetry-Neutral,AttractorTopologyScaling,0.8031,0.7485,0.762,0.7509,0.7634,0.7444,0.7615,UNIVERSALITY-BOUNDED
8,Antisymmetry-Neutral,AttractorTopologyScaling,0.7704,0.7401,0.7231,0.7051,0.7381,0.707,0.7172,UNIVERSALITY-BOUNDED
12,Antisymmetry-Neutral,AttractorTopologyScaling,0.6935,0.6841,0.659,0.6533,0.6785,0.6357,0.6525,UNIVERSALITY-PARTIAL
16,Antisymmetry-Neutral,AttractorTopologyScaling,0.6427,0.6118,0.6232,0.5961,0.6023,0.5944,0.6075,UNIVERSALITY-PARTIAL
20,Antisymmetry-Neutral,AttractorTopologyScaling,0.5908,0.5695,0.5754,0.5551,0.5615,0.5491,0.5602,UNIVERSALITY-DEGRADING
24,Antisymmetry-Neutral,AttractorTopologyScaling,0.5666,0.5345,0.5327,0.5405,0.541,0.5099,0.5388,UNIVERSALITY-DEGRADING
32,Antisymmetry-Neutral,AttractorTopologyScaling,0.4909,0.4714,0.4791,0.4644,0.4698,0.4539,0.4647,UNIVERSALITY-DEGRADING
40,Antisymmetry-Neutral,AttractorTopologyScaling,0.4463,0.4307,0.4241,0.4183,0.4289,0.4089,0.4224,UNIVERSALITY-FAILED
48,Antisymmetry-Neutral,AttractorTopologyScaling,0.4022,0.3851,0.3913,0.3857,0.3932,0.3663,0.3836,UNIVERSALITY-FAILED
64,Antisymmetry-Neutral,AttractorTopologyScaling,0.3434,0.3269,0.3304,0.3233,0.3274,0.3177,0.3194,UNIVERSALITY-FAILED
80,Antisymmetry-Neutral,AttractorTopologyScaling,0.2907,0.2798,0.2781,0.2752,0.2771,0.2723,0.275,UNIVERSALITY-FAILED
96,Antisymmetry-Neutral,AttractorTopologyScaling,0.2637,0.2521,0.2414,0.2494,0.2523,0.2335,0.2484,UNIVERSALITY-FAILED
128,Antisymmetry-Neutral,AttractorTopologyScaling,0.2108,0.2019,0.1948,0.1923,0.198,0.1879,0.1947,UNIVERSALITY-FAILED
160,Antisymmetry-Neutral,AttractorTopologyScaling,0.173,0.1691,0.1675,0.165,0.1655,0.1627,0.1659,UNIVERSALITY-FAILED
192,Antisymmetry-Neutral,AttractorTopologyScaling,0.1503,0.1464,0.1447,0.1409,0.1463,0.1363,0.1387,UNIVERSALITY-FAILED
256,Antisymmetry-Neutral,AttractorTopologyScaling,0.118,0.1152,0.1117,0.1126,0.1115,0.1103,0.1089,UNIVERSALITY-FAILED
320,Antisymmetry-Neutral,AttractorTopologyScaling,0.097,0.0924,0.09,0.093,0.0932,0.0875,0.0892,UNIVERSALITY-FAILED
512,Antisymmetry-Neutral,AttractorTopologyScaling,0.0634,0.06,0.0602,0.0589,0.0613,0.0573,0.058,UNIVERSALITY-FAILED
1,Antisymmetry-Neutral,PerturbationUniversalityTesting,0.8852,0.8462,0.8364,0.8563,0.8315,0.8494,0.8414,UNIVERSALITY-STABLE
2,Antisymmetry-Neutral,PerturbationUniversalityTesting,0.8519,0.8522,0.8365,0.8393,0.8029,0.8081,0.8346,UNIVERSALITY-STABLE
4,Antisymmetry-Neutral,PerturbationUniversalityTesting,0.8217,0.8094,0.8063,0.7902,0.7739,0.7629,0.7956,UNIVERSALITY-STABLE
6,Antisymmetry-Neutral,PerturbationUniversalityTesting,0.7742,0.752,0.7688,0.7497,0.7331,0.7242,0.7343,UNIVERSALITY-BOUNDED
8,Antisymmetry-Neutral,PerturbationUniversalityTesting,0.7376,0.7193,0.7249,0.7272,0.7197,0.6936,0.705,UNIVERSALITY-BOUNDED
12,Antisymmetry-Neutral,PerturbationUniversalityTesting,0.6933,0.6608,0.6627,0.661,0.6507,0.6386,0.6425,UNIVERSALITY-PARTIAL
16,Antisymmetry-Neutral,PerturbationUniversalityTesting,0.6276,0.6353,0.6017,0.6064,0.6015,0.6137,0.5994,UNIVERSALITY-PARTIAL
20,Antisymmetry-Neutral,PerturbationUniversalityTesting,0.604,0.5816,0.5841,0.5713,0.5601,0.5717,0.5621,UNIVERSALITY-DEGRADING
24,Antisymmetry-Neutral,PerturbationUniversalityTesting,0.5526,0.5455,0.5334,0.5391,0.5112,0.523,0.5299,UNIVERSALITY-DEGRADING
32,Antisymmetry-Neutral,PerturbationUniversalityTesting,0.4887,0.48,0.4665,0.4681,0.457,0.4707,0.4756,UNIVERSALITY-DEGRADING
40,Antisymmetry-Neutral,PerturbationUniversalityTesting,0.4396,0.4283,0.4302,0.4101,0.4196,0.4138,0.4195,UNIVERSALITY-FAILED
48,Antisymmetry-Neutral,PerturbationUniversalityTesting,0.3965,0.3825,0.3914,0.3887,0.3691,0.3758,0.3718,UNIVERSALITY-FAILED
64,Antisymmetry-Neutral,PerturbationUniversalityTesting,0.3433,0.3347,0.3176,0.3236,0.3133,0.311,0.3219,UNIVERSALITY-FAILED
80,Antisymmetry-Neutral,PerturbationUniversalityTesting,0.2884,0.2819,0.2781,0.2707,0.2712,0.2695,0.2784,UNIVERSALITY-FAILED
96,Antisymmetry-Neutral,PerturbationUniversalityTesting,0.2568,0.2503,0.2473,0.2483,0.242,0.2358,0.2453,UNIVERSALITY-FAILED
128,Antisymmetry-Neutral,PerturbationUniversalityTesting,0.2106,0.2057,0.203,0.1936,0.1898,0.191,0.1923,UNIVERSALITY-FAILED
160,Antisymmetry-Neutral,PerturbationUniversalityTesting,0.1769,0.17,0.1658,0.1666,0.1623,0.1639,0.1608,UNIVERSALITY-FAILED
192,Antisymmetry-Neutral,PerturbationUniversalityTesting,0.152,0.1418,0.144,0.144,0.1375,0.1433,0.1403,UNIVERSALITY-FAILED
256,Antisymmetry-Neutral,PerturbationUniversalityTesting,0.1143,0.112,0.1095,0.1108,0.1072,0.1115,0.1093,UNIVERSALITY-FAILED
320,Antisymmetry-Neutral,PerturbationUniversalityTesting,0.0977,0.0953,0.0919,0.0913,0.0886,0.09,0.0903,UNIVERSALITY-FAILED
512,Antisymmetry-Neutral,PerturbationUniversalityTesting,0.0632,0.0613,0.0611,0.0595,0.0598,0.0577,0.0595,UNIVERSALITY-FAILED
1,Antisymmetry-Neutral,ResilienceScalingPersistence,0.8777,0.8678,0.8678,0.8483,0.8489,0.8387,0.8534,UNIVERSALITY-STABLE
2,Antisymmetry-Neutral,ResilienceScalingPersistence,0.8448,0.8619,0.8403,0.8307,0.8224,0.8378,0.8375,UNIVERSALITY-STABLE
4,Antisymmetry-Neutral,ResilienceScalingPersistence,0.821,0.7866,0.7976,0.7906,0.7608,0.7892,0.787,UNIVERSALITY-BOUNDED
6,Antisymmetry-Neutral,ResilienceScalingPersistence,0.7751,0.7696,0.7431,0.7319,0.7515,0.7426,0.768,UNIVERSALITY-BOUNDED
8,Antisymmetry-Neutral,ResilienceScalingPersistence,0.7661,0.738,0.7212,0.7016,0.7017,0.7012,0.7332,UNIVERSALITY-BOUNDED
12,Antisymmetry-Neutral,ResilienceScalingPersistence,0.6738,0.6778,0.669,0.6501,0.6354,0.6644,0.6663,UNIVERSALITY-PARTIAL
16,Antisymmetry-Neutral,ResilienceScalingPersistence,0.6452,0.6201,0.6252,0.5951,0.6074,0.6097,0.616,UNIVERSALITY-PARTIAL
20,Antisymmetry-Neutral,ResilienceScalingPersistence,0.5953,0.5683,0.5746,0.5581,0.5727,0.5784,0.5598,UNIVERSALITY-DEGRADING
24,Antisymmetry-Neutral,ResilienceScalingPersistence,0.5592,0.5395,0.5288,0.5369,0.5185,0.5202,0.5255,UNIVERSALITY-DEGRADING
32,Antisymmetry-Neutral,ResilienceScalingPersistence,0.4978,0.4876,0.4714,0.4627,0.4638,0.4651,0.481,UNIVERSALITY-DEGRADING
40,Antisymmetry-Neutral,ResilienceScalingPersistence,0.4484,0.434,0.4344,0.4212,0.421,0.4286,0.4247,UNIVERSALITY-FAILED
48,Antisymmetry-Neutral,ResilienceScalingPersistence,0.4025,0.3903,0.3923,0.3848,0.376,0.3736,0.3784,UNIVERSALITY-FAILED
64,Antisymmetry-Neutral,ResilienceScalingPersistence,0.3362,0.3273,0.3183,0.3243,0.3237,0.3153,0.3183,UNIVERSALITY-FAILED
80,Antisymmetry-Neutral,ResilienceScalingPersistence,0.287,0.2888,0.2758,0.2794,0.2702,0.2729,0.2755,UNIVERSALITY-FAILED
96,Antisymmetry-Neutral,ResilienceScalingPersistence,0.2503,0.2443,0.2449,0.2433,0.2376,0.2494,0.245,UNIVERSALITY-FAILED
128,Antisymmetry-Neutral,ResilienceScalingPersistence,0.2063,0.1967,0.2019,0.1963,0.1963,0.1961,0.2025,UNIVERSALITY-FAILED
160,Antisymmetry-Neutral,ResilienceScalingPersistence,0.1715,0.1701,0.168,0.1676,0.1628,0.1648,0.166,UNIVERSALITY-FAILED
192,Antisymmetry-Neutral,ResilienceScalingPersistence,0.1486,0.1445,0.1406,0.1437,0.1393,0.1436,0.1432,UNIVERSALITY-FAILED
256,Antisymmetry-Neutral,ResilienceScalingPersistence,0.1139,0.1144,0.1137,0.1099,0.1109,0.112,0.1128,UNIVERSALITY-FAILED
320,Antisymmetry-Neutral,ResilienceScalingPersistence,0.0972,0.0947,0.0924,0.0915,0.0894,0.089,0.0918,UNIVERSALITY-FAILED
512,Antisymmetry-Neutral,ResilienceScalingPersistence,0.0627,0.0607,0.0609,0.0606,0.0587,0.0598,0.0589,UNIVERSALITY-FAILED
1,Antisymmetry-Neutral,NullUniversalityControl,0.6828,0.7014,0.6776,0.7011,0.6677,0.666,0.6807,UNIVERSALITY-PARTIAL
2,Antisymmetry-Neutral,NullUniversalityControl,0.6731,0.6739,0.676,0.6748,0.6668,0.6197,0.6394,UNIVERSALITY-PARTIAL
4,Antisymmetry-Neutral,NullUniversalityControl,0.6383,0.6458,0.6442,0.641,0.6306,0.6005,0.6329,UNIVERSALITY-PARTIAL
6,Antisymmetry-Neutral,NullUniversalityControl,0.6139,0.6003,0.6093,0.6325,0.5807,0.5696,0.6024,UNIVERSALITY-PARTIAL
8,Antisymmetry-Neutral,NullUniversalityControl,0.6078,0.5878,0.576,0.6002,0.5683,0.5602,0.5857,UNIVERSALITY-DEGRADING
12,Antisymmetry-Neutral,NullUniversalityControl,0.5522,0.535,0.5308,0.5262,0.5127,0.5023,0.5338,UNIVERSALITY-DEGRADING
16,Antisymmetry-Neutral,NullUniversalityControl,0.5042,0.5066,0.5047,0.512,0.4657,0.4595,0.4814,UNIVERSALITY-DEGRADING
20,Antisymmetry-Neutral,NullUniversalityControl,0.4745,0.4537,0.4528,0.4726,0.4428,0.4305,0.4461,UNIVERSALITY-DEGRADING
24,Antisymmetry-Neutral,NullUniversalityControl,0.4352,0.426,0.4374,0.443,0.4068,0.4025,0.4147,UNIVERSALITY-FAILED
32,Antisymmetry-Neutral,NullUniversalityControl,0.3816,0.3829,0.3757,0.377,0.3581,0.3642,0.3747,UNIVERSALITY-FAILED
40,Antisymmetry-Neutral,NullUniversalityControl,0.3564,0.3362,0.338,0.3521,0.3309,0.3171,0.3265,UNIVERSALITY-FAILED
48,Antisymmetry-Neutral,NullUniversalityControl,0.324,0.3202,0.3107,0.3196,0.3063,0.3029,0.3126,UNIVERSALITY-FAILED
64,Antisymmetry-Neutral,NullUniversalityControl,0.2727,0.2709,0.2572,0.2693,0.2454,0.2509,0.2531,UNIVERSALITY-FAILED
80,Antisymmetry-Neutral,NullUniversalityControl,0.2244,0.2218,0.2246,0.2299,0.2175,0.22,0.2213,UNIVERSALITY-FAILED
96,Antisymmetry-Neutral,NullUniversalityControl,0.2037,0.1992,0.2015,0.1956,0.1874,0.1937,0.1998,UNIVERSALITY-FAILED
128,Antisymmetry-Neutral,NullUniversalityControl,0.1645,0.1629,0.1584,0.1586,0.1512,0.1523,0.1607,UNIVERSALITY-FAILED
160,Antisymmetry-Neutral,NullUniversalityControl,0.1394,0.1317,0.1333,0.1316,0.1284,0.128,0.1324,UNIVERSALITY-FAILED
192,Antisymmetry-Neutral,NullUniversalityControl,0.12,0.1182,0.1136,0.1176,0.1127,0.1123,0.1122,UNIVERSALITY-FAILED
256,Antisymmetry-Neutral,NullUniversalityControl,0.0911,0.0923,0.0873,0.0896,0.088,0.0867,0.0908,UNIVERSALITY-FAILED
320,Antisymmetry-Neutral,NullUniversalityControl,0.0774,0.0768,0.0757,0.0737,0.0728,0.07,0.0732,UNIVERSALITY-FAILED
512,Antisymmetry-Neutral,NullUniversalityControl,0.0505,0.05,0.05,0.05,0.05,0.05,0.05,UNIVERSALITY-FAILED
1,Projection-Antisymmetry-Neutral,ScaleRescalingInvariance,0.9154,0.8694,0.8595,0.8529,0.8341,0.8547,0.8635,UNIVERSALITY-STABLE
2,Projection-Antisymmetry-Neutral,ScaleRescalingInvariance,0.8893,0.8558,0.8613,0.8205,0.7986,0.8033,0.8077,UNIVERSALITY-STABLE
4,Projection-Antisymmetry-Neutral,ScaleRescalingInvariance,0.8267,0.8203,0.8171,0.7764,0.7759,0.7839,0.7924,UNIVERSALITY-STABLE
6,Projection-Antisymmetry-Neutral,ScaleRescalingInvariance,0.8129,0.784,0.7569,0.7508,0.7227,0.7398,0.753,UNIVERSALITY-BOUNDED
8,Projection-Antisymmetry-Neutral,ScaleRescalingInvariance,0.7533,0.7535,0.7171,0.7063,0.7185,0.6997,0.716,UNIVERSALITY-BOUNDED
12,Projection-Antisymmetry-Neutral,ScaleRescalingInvariance,0.7197,0.6842,0.6644,0.6675,0.6546,0.6632,0.6731,UNIVERSALITY-PARTIAL
16,Projection-Antisymmetry-Neutral,ScaleRescalingInvariance,0.6457,0.6365,0.6149,0.6221,0.5979,0.6088,0.598,UNIVERSALITY-PARTIAL
20,Projection-Antisymmetry-Neutral,ScaleRescalingInvariance,0.6127,0.5987,0.5881,0.5775,0.5547,0.5522,0.5751,UNIVERSALITY-DEGRADING
24,Projection-Antisymmetry-Neutral,ScaleRescalingInvariance,0.5726,0.5435,0.5402,0.5212,0.5214,0.5206,0.5379,UNIVERSALITY-DEGRADING
32,Projection-Antisymmetry-Neutral,ScaleRescalingInvariance,0.5069,0.4759,0.4757,0.463,0.4593,0.4545,0.4719,UNIVERSALITY-DEGRADING
40,Projection-Antisymmetry-Neutral,ScaleRescalingInvariance,0.4409,0.4429,0.4249,0.4151,0.4206,0.4169,0.4206,UNIVERSALITY-FAILED
48,Projection-Antisymmetry-Neutral,ScaleRescalingInvariance,0.402,0.3896,0.3888,0.379,0.3776,0.3689,0.3758,UNIVERSALITY-FAILED
64,Projection-Antisymmetry-Neutral,ScaleRescalingInvariance,0.3493,0.325,0.327,0.3187,0.3096,0.3118,0.3272,UNIVERSALITY-FAILED
80,Projection-Antisymmetry-Neutral,ScaleRescalingInvariance,0.3022,0.2864,0.286,0.2788,0.2703,0.2777,0.2802,UNIVERSALITY-FAILED
96,Projection-Antisymmetry-Neutral,ScaleRescalingInvariance,0.2604,0.2471,0.2473,0.2441,0.2366,0.2465,0.2427,UNIVERSALITY-FAILED
128,Projection-Antisymmetry-Neutral,ScaleRescalingInvariance,0.2089,0.2048,0.2049,0.1961,0.195,0.1941,0.1996,UNIVERSALITY-FAILED
160,Projection-Antisymmetry-Neutral,ScaleRescalingInvariance,0.1745,0.1744,0.1708,0.1616,0.1629,0.1656,0.1612,UNIVERSALITY-FAILED
192,Projection-Antisymmetry-Neutral,ScaleRescalingInvariance,0.1503,0.1465,0.1475,0.1417,0.1407,0.1372,0.1408,UNIVERSALITY-FAILED
256,Projection-Antisymmetry-Neutral,ScaleRescalingInvariance,0.1204,0.1129,0.111,0.1088,0.1079,0.1098,0.1088,UNIVERSALITY-FAILED
320,Projection-Antisymmetry-Neutral,ScaleRescalingInvariance,0.0979,0.0942,0.0929,0.0897,0.0912,0.0913,0.0909,UNIVERSALITY-FAILED
512,Projection-Antisymmetry-Neutral,ScaleRescalingInvariance,0.0637,0.0618,0.0619,0.0598,0.058,0.059,0.0586,UNIVERSALITY-FAILED
1,Projection-Antisymmetry-Neutral,UniversalityClassExtraction,0.9275,0.8779,0.855,0.8552,0.841,0.8414,0.8606,UNIVERSALITY-STABLE
2,Projection-Antisymmetry-Neutral,UniversalityClassExtraction,0.8978,0.8587,0.835,0.8485,0.8338,0.7976,0.8168,UNIVERSALITY-STABLE
4,Projection-Antisymmetry-Neutral,UniversalityClassExtraction,0.8465,0.8071,0.8214,0.7881,0.7685,0.7628,0.7817,UNIVERSALITY-STABLE
6,Projection-Antisymmetry-Neutral,UniversalityClassExtraction,0.8116,0.7844,0.7631,0.7424,0.7547,0.7361,0.7482,UNIVERSALITY-BOUNDED
8,Projection-Antisymmetry-Neutral,UniversalityClassExtraction,0.7684,0.7588,0.7268,0.7169,0.7094,0.7217,0.7355,UNIVERSALITY-BOUNDED
12,Projection-Antisymmetry-Neutral,UniversalityClassExtraction,0.7028,0.6769,0.6713,0.6766,0.6547,0.6624,0.6757,UNIVERSALITY-PARTIAL
16,Projection-Antisymmetry-Neutral,UniversalityClassExtraction,0.6549,0.6499,0.6122,0.6064,0.6195,0.593,0.6115,UNIVERSALITY-PARTIAL
20,Projection-Antisymmetry-Neutral,UniversalityClassExtraction,0.6019,0.603,0.5866,0.5827,0.5651,0.5506,0.5662,UNIVERSALITY-DEGRADING
24,Projection-Antisymmetry-Neutral,UniversalityClassExtraction,0.5624,0.5652,0.5432,0.528,0.5224,0.5113,0.5273,UNIVERSALITY-DEGRADING
32,Projection-Antisymmetry-Neutral,UniversalityClassExtraction,0.4951,0.5003,0.4709,0.4758,0.4593,0.4608,0.4793,UNIVERSALITY-DEGRADING
40,Projection-Antisymmetry-Neutral,UniversalityClassExtraction,0.4474,0.4353,0.4394,0.4338,0.4139,0.4127,0.434,UNIVERSALITY-FAILED
48,Projection-Antisymmetry-Neutral,UniversalityClassExtraction,0.4067,0.3977,0.3917,0.3806,0.3862,0.3764,0.3898,UNIVERSALITY-FAILED
64,Projection-Antisymmetry-Neutral,UniversalityClassExtraction,0.3454,0.3387,0.3289,0.3293,0.3247,0.319,0.3247,UNIVERSALITY-FAILED
80,Projection-Antisymmetry-Neutral,UniversalityClassExtraction,0.2988,0.2945,0.2888,0.2802,0.2762,0.2676,0.275,UNIVERSALITY-FAILED
96,Projection-Antisymmetry-Neutral,UniversalityClassExtraction,0.2581,0.2523,0.2475,0.2485,0.238,0.2378,0.2423,UNIVERSALITY-FAILED
128,Projection-Antisymmetry-Neutral,UniversalityClassExtraction,0.2079,0.2086,0.2053,0.1988,0.196,0.1917,0.1979,UNIVERSALITY-FAILED
160,Projection-Antisymmetry-Neutral,UniversalityClassExtraction,0.1789,0.176,0.1688,0.1637,0.1682,0.1609,0.1683,UNIVERSALITY-FAILED
192,Projection-Antisymmetry-Neutral,UniversalityClassExtraction,0.1529,0.1497,0.148,0.1458,0.1433,0.1368,0.1448,UNIVERSALITY-FAILED
256,Projection-Antisymmetry-Neutral,UniversalityClassExtraction,0.1183,0.118,0.111,0.114,0.1122,0.1121,0.1137,UNIVERSALITY-FAILED
320,Projection-Antisymmetry-Neutral,UniversalityClassExtraction,0.0962,0.0934,0.0946,0.0938,0.0898,0.0885,0.0931,UNIVERSALITY-FAILED
512,Projection-Antisymmetry-Neutral,UniversalityClassExtraction,0.0636,0.0634,0.0602,0.0589,0.06,0.0583,0.0593,UNIVERSALITY-FAILED
1,Projection-Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.9031,0.8822,0.8944,0.8839,0.8534,0.8375,0.8516,UNIVERSALITY-STABLE
2,Projection-Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.8796,0.855,0.8423,0.8509,0.8288,0.8167,0.8383,UNIVERSALITY-STABLE
4,Projection-Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.8337,0.8083,0.7953,0.8054,0.7792,0.7606,0.7966,UNIVERSALITY-BOUNDED
6,Projection-Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.7857,0.7722,0.7709,0.7653,0.7248,0.7321,0.7487,UNIVERSALITY-BOUNDED
8,Projection-Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.7648,0.7422,0.7417,0.7373,0.7094,0.6868,0.7352,UNIVERSALITY-BOUNDED
12,Projection-Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.6855,0.6748,0.6928,0.6821,0.6426,0.6406,0.674,UNIVERSALITY-PARTIAL
16,Projection-Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.6611,0.6186,0.6199,0.6259,0.604,0.5819,0.6177,UNIVERSALITY-PARTIAL
20,Projection-Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.6144,0.5951,0.5905,0.587,0.5676,0.5614,0.5618,UNIVERSALITY-DEGRADING
24,Projection-Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.5698,0.5555,0.5547,0.5309,0.512,0.5274,0.5331,UNIVERSALITY-DEGRADING
32,Projection-Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.5092,0.481,0.4852,0.4758,0.4636,0.4672,0.4845,UNIVERSALITY-DEGRADING
40,Projection-Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.4527,0.4445,0.4349,0.4391,0.4133,0.4156,0.4181,UNIVERSALITY-FAILED
48,Projection-Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.4028,0.3974,0.4013,0.3902,0.3738,0.3727,0.3872,UNIVERSALITY-FAILED
64,Projection-Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.3436,0.3374,0.3316,0.3241,0.3162,0.3205,0.3251,UNIVERSALITY-FAILED
80,Projection-Antisymmetry-Neutral,RecursiveRenormalizationAnalysis,0.2982,0.281,0.2843,0.2809,0.2774,0.2689,0.2755,UNIVERSALITY-FAILED
